Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
01/02/2015,33162,25018,58180,8136,3100,11236,12148,17469,25018,42487,2116,4457
01/03/2015,33161,25011,58172,8148,3099,11247,12135,17454,25011,42465,2118,4460
01/04/2015,33303,25027,58330,8218,3142,11360,12149,17469,25027,42496,2124,4474
01/05/2015,33354,25015,58369,8237,3168,11405,12135,17459,25015,42474,2132,4490
01/06/2015,33374,24978,58352,8276,3175,11451,12120,17433,24978,42411,2132,4490
01/07/2015,33464,25010,58474,8304,3170,11474,12145,17473,25010,42483,2145,4517
01/08/2015,33517,25034,58551,8288,3185,11473,12173,17511,25034,42545,2153,4533
01/09/2015,33415,25013,58428,8202,3164,11366,12162,17493,25013,42506,2163,4556
01/10/2015,33484,25003,58487,8259,3165,11424,12158,17493,25003,42496,2169,4567
01/11/2015,33569,25014,58583,8312,3177,11489,12166,17510,25014,42524,2170,4570
01/12/2015,33609,25034,58643,8332,3181,11513,12175,17525,25034,42559,2171,4571
01/13/2015,33615,25013,58628,8360,3188,11548,12161,17492,25013,42505,2171,4575
01/14/2015,33636,25004,58640,8360,3188,11548,12167,17506,25004,42510,2174,4582
01/15/2015,33646,25021,58667,8356,3182,11538,12168,17511,25021,42532,2181,4597
01/16/2015,33621,25003,58624,8356,3180,11536,12163,17507,25003,42510,2172,4578
01/17/2015,33538,24982,58520,8332,3149,11481,12151,17491,24982,42473,2166,4566
01/18/2015,33630,25014,58644,8378,3152,11530,12179,17529,25014,42543,2167,4571
01/19/2015,33687,25004,58691,8408,3173,11581,12179,17533,25004,42537,2168,4573
01/20/2015,33716,24998,58714,8458,3171,11629,12163,17507,24998,42505,2171,4580
01/21/2015,33686,24959,58645,8449,3189,11638,12141,17473,24959,42432,2169,4575
01/22/2015,33711,24944,58655,8478,3188,11666,12143,17473,24944,42417,2168,4572
01/23/2015,33611,24934,58545,8425,3158,11583,12141,17466,24934,42400,2165,4562
01/24/2015,33595,24877,58472,8428,3168,11596,12122,17435,24877,42312,2166,4564
01/25/2015,33708,24919,58627,8478,3189,11667,12141,17465,24919,42384,2172,4576
01/26/2015,33712,24890,58602,8525,3190,11715,12120,17442,24890,42332,2162,4555
01/27/2015,33781,24951,58732,8538,3189,11727,12151,17486,24951,42437,2169,4568
01/28/2015,33774,24949,58723,8541,3186,11727,12138,17473,24949,42422,2173,4574
01/29/2015,33699,24915,58614,8518,3195,11713,12118,17437,24915,42352,2162,4549
01/30/2015,33602,24904,58506,8440,3159,11599,12114,17439,24904,42343,2169,4564
01/31/2015,33569,24844,58413,8459,3154,11613,12084,17406,24844,42250,2163,4550
02/01/2015,33639,24840,58479,8476,3178,11654,12088,17417,24840,42257,2172,4568
02/02/2015,33752,24835,58587,8535,3186,11721,12088,17433,24835,42268,2187,4598
02/03/2015,33666,24819,58485,8504,3187,11691,12082,17418,24819,42237,2167,4557
02/05/2015,33630,24720,58350,8526,3177,11703,12034,17364,24720,42084,2171,4563
02/06/2015,33621,24725,58346,8512,3166,11678,12036,17369,24725,42094,2176,4574
02/07/2015,33542,24720,58262,8455,3163,11618,12032,17366,24720,42086,2167,4558
02/08/2015,33690,24739,58429,8562,3174,11736,12045,17384,24739,42123,2173,4570
02/10/2015,33662,24667,58329,8581,3190,11771,12001,17332,24667,41999,2166,4559
02/11/2015,33668,24620,58288,8588,3187,11775,11991,17317,24620,41937,2174,4576
02/12/2015,33679,24588,58267,8618,3191,11809,11972,17305,24588,41893,2169,4565
02/13/2015,33657,24573,58230,8589,3184,11773,11973,17308,24573,41881,2174,4576
02/14/2015,33552,24537,58089,8522,3152,11674,11967,17298,24537,41835,2176,4580
02/15/2015,33662,24548,58210,8603,3168,11771,11970,17301,24548,41849,2181,4590
02/16/2015,33740,24552,58292,8638,3185,11823,11982,17311,24552,41863,2189,4606
02/17/2015,33770,24574,58344,8648,3199,11847,11992,17325,24574,41899,2184,4598
02/18/2015,33760,24524,58284,8672,3214,11886,11958,17275,24524,41799,2184,4599
02/19/2015,33732,24537,58269,8651,3211,11862,11960,17278,24537,41815,2181,4592
02/20/2015,33692,24519,58211,8657,3194,11851,11959,17256,24519,41775,2178,4585
02/21/2015,33594,24510,58104,8605,3171,11776,11955,17258,24510,41768,2165,4560
02/22/2015,33652,24504,58156,8643,3192,11835,11953,17257,24504,41761,2166,4560
02/23/2015,33656,24486,58142,8678,3197,11875,11929,17216,24486,41702,2168,4565
02/24/2015,33638,24435,58073,8692,3204,11896,11902,17169,24435,41604,2172,4573
02/25/2015,33645,24438,58083,8695,3209,11904,11900,17178,24438,41616,2167,4563
02/26/2015,33561,24414,57975,8641,3209,11850,11897,17174,24414,41588,2153,4537
02/27/2015,33506,24421,57927,8590,3179,11769,11910,17186,24421,41607,2160,4551
02/28/2015,33497,24342,57839,8631,3162,11793,11892,17161,24342,41503,2156,4543
03/01/2015,33591,24370,57961,8665,3187,11852,11911,17184,24370,41554,2164,4555
03/02/2015,33602,24361,57963,8656,3194,11850,11900,17186,24361,41547,2168,4566
03/03/2015,33526,24293,57819,8657,3203,11860,11856,17121,24293,41414,2159,4545
03/04/2015,33579,24330,57909,8682,3200,11882,11882,17148,24330,41478,2160,4549
